iter	Passed	Remaining
0	182	91017
1	209	52226
2	236	39141
3	256	31806
4	271	26836
5	285	23510
6	299	21084
7	312	19226
8	326	17786
9	339	16617
10	352	15660
11	365	14877
12	379	14213
13	395	13713
14	411	13316
15	425	12880
16	439	12493
17	454	12160
18	468	11847
19	481	11562
20	495	11306
21	509	11080
22	524	10868
23	537	10665
24	551	10483
25	568	10357
26	582	10204
27	596	10057
28	610	9915
29	624	9790
30	638	9665
31	652	9539
32	665	9418
33	678	9306
34	692	9203
35	707	9121
36	720	9021
37	734	8934
38	748	8845
39	762	8765
40	778	8713
41	791	8633
42	805	8558
43	819	8490
44	832	8421
45	846	8356
46	860	8295
47	874	8238
48	888	8182
49	902	8124
50	917	8078
51	932	8029
52	948	7998
53	965	7972
54	980	7935
55	997	7911
56	1011	7864
57	1031	7857
58	1046	7819
59	1060	7774
60	1073	7724
61	1086	7676
62	1099	7629
63	1112	7582
64	1127	7543
65	1139	7490
66	1151	7440
67	1163	7392
68	1176	7349
69	1190	7311
70	1203	7270
71	1217	7234
72	1229	7194
73	1243	7156
74	1256	7121
75	1270	7087
